acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,rnncell,reverse_grad_weight,dropout_rate,diff_weight,sim_weight,recon_weight,lr,gamma,hidden_size
57.8,52.92,53.12,53.09,0.5418,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-09-34-45,lstm,0.2,0.3,0.1,0.1,0.3,2e-05,0.5,768.0
57.94,51.6,52.59,51.14,0.5214,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-09-46-32,lstm,0.2,0.3,0.1,0.1,0.3,2.9999999999999997e-05,0.5,768.0
57.8,52.51,52.86,52.47,0.5356,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-09-57-56,lstm,0.2,0.3,0.1,0.1,0.1,2e-05,0.5,768.0
58.04,52.61,53.26,52.4,0.5231,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-10-14-40,lstm,0.2,0.3,0.1,0.1,0.1,2.9999999999999997e-05,0.5,768.0
57.99,52.38,53.24,52.17,0.5362,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-10-26-05,lstm,0.2,0.3,0.1,0.5,0.3,2e-05,0.5,768.0
57.55,52.25,53.28,51.93,0.5264,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-10-38-31,lstm,0.2,0.3,0.1,0.5,0.3,2.9999999999999997e-05,0.5,768.0
58.19,52.44,53.27,52.14,0.54,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-10-50-44,lstm,0.2,0.3,0.1,0.5,0.1,2e-05,0.5,768.0
58.09,52.24,52.93,51.9,0.5214,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-11-07-21,lstm,0.2,0.3,0.1,0.5,0.1,2.9999999999999997e-05,0.5,768.0
57.75,52.42,53.01,52.22,0.5325,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-11-27-37,lstm,0.2,0.3,0.3,0.1,0.3,2e-05,0.5,768.0
57.06,51.14,52.52,50.64,0.527,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-11-46-45,lstm,0.2,0.3,0.3,0.1,0.3,2.9999999999999997e-05,0.5,768.0
58.63,53.27,53.54,53.26,0.535,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-12-01-22,lstm,0.2,0.3,0.3,0.1,0.1,2e-05,0.5,768.0
58.29,52.99,53.86,52.61,0.5304,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-12-17-59,lstm,0.2,0.3,0.3,0.1,0.1,2.9999999999999997e-05,0.5,768.0
57.35,52.34,52.35,52.72,0.5395,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-12-36-08,lstm,0.2,0.3,0.3,0.5,0.3,2e-05,0.5,768.0
