acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,beta_shift,dropout_prob,warmup_proportion,lr,aligned_method,weight_decay
57.8,51.75,55.35,52.34,0.514,MIntRec2,mag_bert,bert-base-uncased,4.0,mag_bert_MIntRec2_multi-class_seed-4_2024-03-16-12-49-33,0.01,0.5,0.1,9e-06,conv1d,0.03
57.3,51.86,52.6,52.34,0.5133,MIntRec2,mag_bert,bert-base-uncased,4.0,mag_bert_MIntRec2_multi-class_seed-4_2024-03-16-13-06-40,0.01,0.5,0.1,9e-06,conv1d,0.01
57.85,51.68,52.1,52.5,0.5126,MIntRec2,mag_bert,bert-base-uncased,4.0,mag_bert_MIntRec2_multi-class_seed-4_2024-03-16-13-24-47,0.01,0.5,0.1,9e-06,conv1d,0.1
57.4,51.48,51.96,52.11,0.5099,MIntRec2,mag_bert,bert-base-uncased,4.0,mag_bert_MIntRec2_multi-class_seed-4_2024-03-16-13-41-51,0.01,0.5,0.01,2e-05,ctc,0.03
57.94,52.27,53.51,52.34,0.5164,MIntRec2,mag_bert,bert-base-uncased,4.0,mag_bert_MIntRec2_multi-class_seed-4_2024-03-16-13-53-36,0.01,0.5,0.01,2e-05,ctc,0.01
57.4,51.76,52.7,51.8,0.5098,MIntRec2,mag_bert,bert-base-uncased,4.0,mag_bert_MIntRec2_multi-class_seed-4_2024-03-16-14-08-26,0.01,0.5,0.01,2e-05,ctc,0.1
58.44,52.91,55.47,52.47,0.5226,MIntRec2,mag_bert,bert-base-uncased,4.0,mag_bert_MIntRec2_multi-class_seed-4_2024-03-16-14-19-57,0.01,0.5,0.01,2e-05,conv1d,0.03
57.7,52.03,53.58,51.92,0.5221,MIntRec2,mag_bert,bert-base-uncased,4.0,mag_bert_MIntRec2_multi-class_seed-4_2024-03-16-14-30-44,0.01,0.5,0.01,2e-05,conv1d,0.01
58.34,51.83,54.44,51.45,0.5141,MIntRec2,mag_bert,bert-base-uncased,4.0,mag_bert_MIntRec2_multi-class_seed-4_2024-03-16-14-43-17,0.01,0.5,0.01,2e-05,conv1d,0.1
56.91,51.91,53.01,51.58,0.5209,MIntRec2,mag_bert,bert-base-uncased,4.0,mag_bert_MIntRec2_multi-class_seed-4_2024-03-16-14-53-54,0.01,0.5,0.01,2.9999999999999997e-05,ctc,0.03
56.32,51.56,52.64,51.72,0.5136,MIntRec2,mag_bert,bert-base-uncased,4.0,mag_bert_MIntRec2_multi-class_seed-4_2024-03-16-15-09-11,0.01,0.5,0.01,3e-05,ctc,0.01
56.96,52.13,52.58,52.7,0.5135,MIntRec2,mag_bert,bert-base-uncased,4.0,mag_bert_MIntRec2_multi-class_seed-4_2024-03-16-15-22-10,0.01,0.5,0.01,2.9999999999999997e-05,ctc,0.1
59.08,53.25,54.75,53.7,0.5091,MIntRec2,mag_bert,bert-base-uncased,4.0,mag_bert_MIntRec2_multi-class_seed-4_2024-03-16-15-34-39,0.01,0.5,0.01,3e-05,conv1d,0.03
58.68,53.17,57.11,53.7,0.5126,MIntRec2,mag_bert,bert-base-uncased,4.0,mag_bert_MIntRec2_multi-class_seed-4_2024-03-16-15-43-31,0.01,0.5,0.01,2.9999999999999997e-05,conv1d,0.01
56.03,50.99,51.89,51.5,0.4986,MIntRec2,mag_bert,bert-base-uncased,4.0,mag_bert_MIntRec2_multi-class_seed-4_2024-03-16-15-52-42,0.01,0.5,0.01,3e-05,conv1d,0.1
57.99,50.17,52.03,50.56,0.5025,MIntRec2,mag_bert,bert-base-uncased,4.0,mag_bert_MIntRec2_multi-class_seed-4_2024-03-16-16-07-44,0.01,0.5,0.01,9e-06,ctc,0.03
58.29,50.42,52.21,50.82,0.5057,MIntRec2,mag_bert,bert-base-uncased,4.0,mag_bert_MIntRec2_multi-class_seed-4_2024-03-16-16-19-27,0.01,0.5,0.01,9e-06,ctc,0.01
57.75,52.66,54.53,52.41,0.514,MIntRec2,mag_bert,bert-base-uncased,4.0,mag_bert_MIntRec2_multi-class_seed-4_2024-03-16-16-31-01,0.01,0.5,0.01,9e-06,ctc,0.1
57.8,51.5,51.56,52.07,0.5006,MIntRec2,mag_bert,bert-base-uncased,4.0,mag_bert_MIntRec2_multi-class_seed-4_2024-03-16-16-48-24,0.01,0.5,0.01,9e-06,conv1d,0.03
57.55,52.22,52.11,52.83,0.5155,MIntRec2,mag_bert,bert-base-uncased,4.0,mag_bert_MIntRec2_multi-class_seed-4_2024-03-16-17-02-58,0.01,0.5,0.01,9e-06,conv1d,0.01
57.94,51.78,51.76,52.42,0.5112,MIntRec2,mag_bert,bert-base-uncased,4.0,mag_bert_MIntRec2_multi-class_seed-4_2024-03-16-17-30-10,0.01,0.5,0.01,9e-06,conv1d,0.1
57.6,51.53,52.26,52.34,0.5135,MIntRec2,mag_bert,bert-base-uncased,4.0,mag_bert_MIntRec2_multi-class_seed-4_2024-03-16-17-44-31,0.01,0.5,0.05,2e-05,ctc,0.03
56.96,51.21,53.15,50.82,0.5181,MIntRec2,mag_bert,bert-base-uncased,4.0,mag_bert_MIntRec2_multi-class_seed-4_2024-03-16-17-56-54,0.01,0.5,0.05,2e-05,ctc,0.01
56.91,50.82,51.8,50.77,0.5181,MIntRec2,mag_bert,bert-base-uncased,4.0,mag_bert_MIntRec2_multi-class_seed-4_2024-03-16-18-10-40,0.01,0.5,0.05,2e-05,ctc,0.1
58.24,53.04,54.83,52.62,0.5075,MIntRec2,mag_bert,bert-base-uncased,4.0,mag_bert_MIntRec2_multi-class_seed-4_2024-03-16-18-24-11,0.01,0.5,0.05,2e-05,conv1d,0.03
57.7,52.36,53.37,52.29,0.5084,MIntRec2,mag_bert,bert-base-uncased,4.0,mag_bert_MIntRec2_multi-class_seed-4_2024-03-16-18-36-30,0.01,0.5,0.05,2e-05,conv1d,0.01
57.75,52.11,52.05,52.79,0.5079,MIntRec2,mag_bert,bert-base-uncased,4.0,mag_bert_MIntRec2_multi-class_seed-4_2024-03-16-18-50-52,0.01,0.5,0.05,2e-05,conv1d,0.1
57.65,52.09,55.61,52.09,0.5061,MIntRec2,mag_bert,bert-base-uncased,4.0,mag_bert_MIntRec2_multi-class_seed-4_2024-03-16-19-07-36,0.01,0.5,0.05,2.9999999999999997e-05,ctc,0.03
56.91,51.82,52.72,52.23,0.5098,MIntRec2,mag_bert,bert-base-uncased,4.0,mag_bert_MIntRec2_multi-class_seed-4_2024-03-16-19-17-12,0.01,0.5,0.05,3e-05,ctc,0.01
57.06,51.32,51.6,51.97,0.5125,MIntRec2,mag_bert,bert-base-uncased,4.0,mag_bert_MIntRec2_multi-class_seed-4_2024-03-16-19-29-49,0.01,0.5,0.05,2.9999999999999997e-05,ctc,0.1
58.24,53.02,54.36,53.56,0.523,MIntRec2,mag_bert,bert-base-uncased,4.0,mag_bert_MIntRec2_multi-class_seed-4_2024-03-16-19-43-52,0.01,0.5,0.05,3e-05,conv1d,0.03
