acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,eval_acc,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,dst_feature_dims,nheads,n_levels,attn_dropout,attn_dropout_v,attn_dropout_a,relu_dropout,embed_dropout,res_dropout,output_dropout,text_dropout,conv1d_kernel_size_l,conv1d_kernel_size_v,conv1d_kernel_size_a,lr
57.99,57.59,57.61,52.15,52.99,51.76,51.91,58.21,44.79,94.56,48.62,55.76,,MIntRec2,MIntRec2-OOD,mult,residual,bert-base-uncased,0.0,mult_residual_MIntRec2_multi-class_0_2024-05-01-02-29-59,80.0,4.0,8.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,3e-05
56.91,56.11,56.61,50.83,53.31,50.77,51.68,57.72,44.74,94.69,48.56,55.66,,MIntRec2,MIntRec2-OOD,mult,residual,bert-base-uncased,1.0,mult_residual_MIntRec2_multi-class_0_2024-05-01-02-29-59,80.0,4.0,8.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2.9999999999999997e-05
58.58,58.0,57.84,53.62,54.52,53.33,52.16,58.43,45.09,94.5,48.56,55.7,,MIntRec2,MIntRec2-OOD,mult,residual,bert-base-uncased,2.0,mult_residual_MIntRec2_multi-class_0_2024-05-01-02-29-59,80.0,4.0,8.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,3e-05
59.81,58.23,58.74,52.11,57.21,52.18,51.18,57.23,44.39,94.63,49.46,55.7,,MIntRec2,MIntRec2-OOD,mult,residual,bert-base-uncased,3.0,mult_residual_MIntRec2_multi-class_0_2024-05-01-02-29-59,80.0,4.0,8.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2.9999999999999997e-05
59.52,58.26,60.15,51.91,59.21,50.36,51.52,57.62,44.56,94.63,48.69,55.63,,MIntRec2,MIntRec2-OOD,mult,residual,bert-base-uncased,4.0,mult_residual_MIntRec2_multi-class_0_2024-05-01-02-29-59,80.0,4.0,8.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,3e-05
57.99,57.59,57.61,52.15,52.99,51.76,51.76,58.22,44.66,94.5,48.82,55.64,,MIntRec2,MIntRec2-OOD,mult,vim,bert-base-uncased,0.0,mult_vim_MIntRec2_multi-class_0_2024-05-01-02-36-36,80.0,4.0,8.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2.9999999999999997e-05
56.91,56.11,56.61,50.83,53.31,50.77,51.43,57.55,44.45,95.01,48.94,55.87,,MIntRec2,MIntRec2-OOD,mult,vim,bert-base-uncased,1.0,mult_vim_MIntRec2_multi-class_0_2024-05-01-02-36-36,80.0,4.0,8.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,3e-05
58.58,58.0,57.84,53.62,54.52,53.33,51.84,58.33,44.81,94.5,48.3,55.6,,MIntRec2,MIntRec2-OOD,mult,vim,bert-base-uncased,2.0,mult_vim_MIntRec2_multi-class_0_2024-05-01-02-36-36,80.0,4.0,8.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2.9999999999999997e-05
59.81,58.23,58.74,52.11,57.21,52.18,51.14,57.21,44.23,94.82,49.14,55.84,,MIntRec2,MIntRec2-OOD,mult,vim,bert-base-uncased,3.0,mult_vim_MIntRec2_multi-class_0_2024-05-01-02-36-36,80.0,4.0,8.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,3e-05
59.52,58.26,60.15,51.91,59.21,50.36,51.29,57.56,44.36,94.75,49.26,55.7,,MIntRec2,MIntRec2-OOD,mult,vim,bert-base-uncased,4.0,mult_vim_MIntRec2_multi-class_0_2024-05-01-02-36-36,80.0,4.0,8.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2.9999999999999997e-05
57.99,57.59,57.61,52.15,52.99,51.76,51.09,57.45,44.29,94.69,49.33,55.76,,MIntRec2,MIntRec2-OOD,mult,energy,bert-base-uncased,0.0,mult_energy_MIntRec2_multi-class_0_2024-05-01-02-55-59,80.0,4.0,8.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,3e-05
