acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,eval_acc,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,beta_shift,dropout_prob,warmup_proportion,lr,weight_decay,scale,aligned_method
57.6,55.1,53.98,47.43,47.31,48.95,50.7,56.87,44.02,94.95,49.46,55.8,0.5805,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,2.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-01-48-15,0.003,0.3,0.1,1e-05,0.01,,ctc
57.35,55.36,55.29,48.27,51.25,49.33,51.06,57.19,44.28,94.69,49.2,55.65,0.5814,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,2.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-01-48-15,0.003,0.3,0.1,2e-05,0.01,,ctc
58.53,57.62,58.73,52.39,56.32,52.05,50.76,56.98,44.15,94.88,49.58,55.86,0.5868,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,2.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-01-48-15,0.003,0.1,0.1,3e-05,0.01,,ctc
56.71,53.69,53.68,44.47,47.0,45.48,50.78,57.03,43.93,95.01,49.14,56.0,0.5705,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,2.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-01-48-15,0.003,0.1,0.1,1e-05,0.01,,ctc
58.24,56.47,56.21,49.46,51.67,49.85,51.04,57.17,44.32,94.69,49.26,55.73,0.5787,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,2.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-01-48-15,0.003,0.1,0.1,2e-05,0.01,,ctc
58.24,56.35,56.08,49.95,53.86,50.47,50.73,56.94,44.03,94.56,49.33,55.8,0.5778,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,3.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-01-48-15,0.006,0.3,0.1,2.9999999999999997e-05,0.01,,ctc
58.24,56.86,56.3,50.52,51.58,50.98,50.76,56.99,44.02,94.95,49.14,55.85,0.585,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,3.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-01-48-15,0.006,0.3,0.1,1e-05,0.01,,ctc
59.17,57.05,57.22,49.92,55.76,49.93,50.8,56.97,44.21,94.75,49.39,55.73,0.5832,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,3.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-01-48-15,0.006,0.3,0.1,2e-05,0.01,,ctc
57.6,56.04,56.06,49.29,52.94,49.06,50.63,56.93,44.23,94.63,49.46,55.63,0.5886,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,3.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-01-48-15,0.006,0.1,0.1,3e-05,0.01,,ctc
58.39,56.57,55.89,49.23,51.04,50.04,50.77,57.05,44.14,95.07,49.52,55.91,0.5796,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,3.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-01-48-15,0.006,0.1,0.1,1e-05,0.01,,ctc
57.16,55.52,55.66,48.93,51.25,50.21,50.97,57.05,44.14,95.01,49.2,55.85,0.5796,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,4.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-07-11-00,0.006,0.3,0.1,2e-05,0.01,,ctc
...,,,,,,,,,,,,,,,,,,,,,,,,,,
57.8,56.49,57.83,50.07,56.39,49.91,50.92,57.02,44.15,94.82,48.88,55.76,0.5868,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.05,0.5,0.1,2.9999999999999997e-05,0.01,,ctc
58.73,56.69,55.86,49.26,49.29,50.61,50.94,57.04,44.07,95.07,49.39,55.89,0.5868,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.05,0.5,0.1,1e-05,0.01,,ctc
