acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,eval_f1,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,lr_main,weight_decay_main,lr_bert,weight_decay_bert,lr_mmilb,weight_decay_mmilb,alpha,dropout_a,dropout_v,dropout_prj,n_layer,cpc_layers,d_vh,d_ah,d_vout,d_aout,d_prjh,scale,beta
71.46,71.21,72.88,69.07,68.82,70.95,76.53,76.07,75.06,78.44,30.44,41.49,0.7072,MIntRec,MIntRec-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec_multi-class_0_2024-04-27-03-28-29,0.0002,0.0003,4e-05,8e-05,0.001,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,16.0,16.0,512.0,20.0,0.5
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.89,69.84,70.56,66.09,67.38,66.11,76.29,75.69,73.7,80.22,31.78,42.25,0.6869,MIntRec,MIntRec-OOD,mmim,ma,bert-base-uncased,1.0,mmim_ma_MIntRec_multi-class_0_2024-04-27-06-43-27,0.0002,0.0003,4e-05,8e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,32.0,16.0,8.0,8.0,512.0,20.0,0.5
72.36,72.96,74.37,70.41,71.28,70.88,76.05,76.76,72.25,81.56,30.89,42.81,0.7063,MIntRec,MIntRec-OOD,mmim,ma,bert-base-uncased,2.0,mmim_ma_MIntRec_multi-class_0_2024-04-27-06-43-27,0.0002,0.0003,4e-05,8e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,32.0,16.0,8.0,8.0,512.0,20.0,0.5
72.58,71.97,72.42,68.24,69.67,68.25,76.9,75.89,74.0,75.78,28.89,40.16,0.6989,MIntRec,MIntRec-OOD,mmim,ma,bert-base-uncased,3.0,mmim_ma_MIntRec_multi-class_0_2024-04-27-06-43-27,0.0002,0.0003,4e-05,8e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,32.0,16.0,8.0,8.0,512.0,20.0,0.5
72.58,72.6,72.79,69.93,70.44,69.74,77.11,77.05,74.86,80.89,30.22,42.7,0.7078,MIntRec,MIntRec-OOD,mmim,ma,bert-base-uncased,4.0,mmim_ma_MIntRec_multi-class_0_2024-04-27-06-43-27,0.0002,0.0003,4e-05,8e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,32.0,16.0,8.0,8.0,512.0,20.0,0.5
73.48,73.49,74.09,70.22,70.78,70.53,76.33,76.09,75.19,74.89,30.44,39.72,0.7186,MIntRec,MIntRec-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec_multi-class_0_2024-04-27-07-04-47,0.0002,0.0003,4e-05,8e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,32.0,16.0,8.0,8.0,512.0,20.0,0.5
..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73.48,73.49,74.09,70.22,70.78,70.53,76.81,77.14,74.35,75.56,30.44,39.94,,MIntRec,MIntRec-OOD,mmim,residual,bert-base-uncased,0.0,mmim_residual_MIntRec_multi-class_0_2024-05-01-01-47-47,0.0002,0.0003,4e-05,8e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,32.0,16.0,8.0,8.0,512.0,20.0,0.5
69.89,69.84,70.56,66.09,67.38,66.11,75.18,75.65,71.99,76.89,30.89,40.72,,MIntRec,MIntRec-OOD,mmim,residual,bert-base-uncased,1.0,mmim_residual_MIntRec_multi-class_0_2024-05-01-01-47-47,0.0002,0.0003,4e-05,8e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,32.0,16.0,8.0,8.0,512.0,20.0,0.5
72.36,72.96,74.37,70.41,71.28,70.88,75.7,77.29,73.16,79.33,30.44,41.93,,MIntRec,MIntRec-OOD,mmim,residual,bert-base-uncased,2.0,mmim_residual_MIntRec_multi-class_0_2024-05-01-01-47-47,0.0002,0.0003,4e-05,8e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,32.0,16.0,8.0,8.0,512.0,20.0,0.5
72.58,71.97,72.42,68.24,69.67,68.25,77.3,77.34,75.77,74.0,30.67,39.16,,MIntRec,MIntRec-OOD,mmim,residual,bert-base-uncased,3.0,mmim_residual_MIntRec_multi-class_0_2024-05-01-01-47-47,0.0002,0.0003,4e-05,8e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,32.0,16.0,8.0,8.0,512.0,20.0,0.5
72.58,72.6,72.79,69.93,70.44,69.74,76.75,77.86,73.01,82.67,28.89,43.47,,MIntRec,MIntRec-OOD,mmim,residual,bert-base-uncased,4.0,mmim_residual_MIntRec_multi-class_0_2024-05-01-01-47-47,0.0002,0.0003,4e-05,8e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,32.0,16.0,8.0,8.0,512.0,20.0,0.5
