acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,lr,weight_decay,warmup_proportion,hidden_dims,num_attention_heads,attention_probs_dropout_prob,hidden_dropout_prob,intermediate_size,num_hidden_layers,max_position_embeddings,aligned_method,multiple_ood,select_number_min,select_number_max,mlp_hidden_size,mlp_dropout,alpha,scale,eval_acc,sampler
58.14,57.03,58.27,50.87,53.6,51.91,50.88,56.99,44.32,94.56,49.07,55.78,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MIntRec2_multi-class_0_2024-04-17-08-29-57,1e-05,0.1,0.01,768.0,4.0,0.3,0.3,768.0,4.0,768.0,conv1d,1.0,2.0,3.0,256.0,0.3,2.0,8.0,0.5949,
57.16,56.47,58.04,50.52,51.5,51.82,51.07,57.11,44.57,94.37,49.33,55.59,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MIntRec2_multi-class_0_2024-04-17-08-29-57,1e-05,0.1,0.01,768.0,4.0,0.3,0.3,768.0,4.0,768.0,conv1d,1.0,2.0,3.0,256.0,0.3,2.0,16.0,0.5922,
57.89,57.21,57.32,51.62,52.81,51.53,51.15,57.56,44.32,94.95,49.01,55.82,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MIntRec2_multi-class_0_2024-04-17-08-29-57,1e-05,0.1,0.01,768.0,4.0,0.3,0.3,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,8.0,0.5895,
60.06,59.29,60.3,54.14,57.06,53.63,51.79,57.76,45.01,94.18,48.82,55.44,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MIntRec2_multi-class_0_2024-04-17-08-29-57,1e-05,0.1,0.01,768.0,4.0,0.3,0.3,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.5895,
60.35,58.92,59.3,53.47,57.65,52.85,51.89,58.06,44.86,94.37,48.5,55.62,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MIntRec2_multi-class_0_2024-04-17-08-29-57,1e-05,0.1,0.01,768.0,4.0,0.3,0.3,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,2.0,8.0,0.5913,
59.52,58.6,59.76,53.67,57.4,53.47,52.12,58.05,45.26,93.92,48.43,55.32,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MIntRec2_multi-class_0_2024-04-17-08-29-57,1e-05,0.1,0.01,768.0,4.0,0.3,0.3,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,2.0,16.0,0.5904,
59.57,58.48,58.42,52.87,54.39,52.97,50.74,56.87,44.21,94.63,49.46,55.69,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MIntRec2_multi-class_0_2024-04-17-08-29-57,1e-05,0.1,0.01,768.0,4.0,0.3,0.3,768.0,5.0,768.0,conv1d,1.0,2.0,3.0,256.0,0.3,3.0,8.0,0.5967,
57.6,56.87,57.83,51.07,52.61,51.23,51.11,57.11,44.58,94.43,49.01,55.57,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MIntRec2_multi-class_0_2024-04-17-08-29-57,1e-05,0.1,0.01,768.0,4.0,0.3,0.3,768.0,5.0,768.0,conv1d,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.5814,
59.22,58.35,58.49,52.73,54.3,52.45,50.71,56.97,44.08,94.63,49.33,55.7,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MIntRec2_multi-class_0_2024-04-17-08-29-57,1e-05,0.1,0.01,768.0,4.0,0.3,0.3,768.0,5.0,768.0,conv1d,1.0,2.0,3.0,256.0,0.3,2.0,8.0,0.5986,
57.4,56.35,56.48,50.51,51.42,51.38,51.01,57.1,44.4,94.43,49.52,55.56,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MIntRec2_multi-class_0_2024-04-17-08-29-57,1e-05,0.1,0.01,768.0,4.0,0.3,0.3,768.0,5.0,768.0,conv1d,1.0,2.0,3.0,256.0,0.3,2.0,16.0,0.5859,
58.68,57.41,58.27,52.14,56.53,51.87,52.21,58.28,45.25,94.24,48.37,55.71,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MIntRec2_multi-class_0_2024-04-17-08-29-57,1e-05,0.1,0.01,768.0,4.0,0.3,0.3,768.0,6.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,8.0,0.6103,
57.5,56.32,57.59,50.81,54.54,50.81,52.15,58.11,45.3,94.11,48.11,55.5,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MIntRec2_multi-class_0_2024-04-17-08-29-57,1e-05,0.1,0.01,768.0,4.0,0.3,0.3,768.0,6.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.5922,
60.06,58.69,59.91,52.83,59.21,52.67,51.89,58.05,45.02,94.37,48.3,55.5,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MIntRec2_multi-class_0_2024-04-17-08-29-57,1e-05,0.1,0.01,768.0,4.0,0.3,0.3,768.0,6.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,2.0,8.0,0.5958,
58.53,57.71,58.85,52.42,55.83,51.96,52.03,58.0,45.17,94.31,48.69,55.47,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MIntRec2_multi-class_0_2024-04-17-08-29-57,1e-05,0.1,0.01,768.0,4.0,0.3,0.3,768.0,6.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,2.0,16.0,0.5995,
58.78,57.38,59.61,50.32,58.53,50.58,50.83,56.89,44.2,94.88,49.52,55.79,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MIntRec2_multi-class_0_2024-04-17-08-29-57,1e-05,0.1,0.01,768.0,4.0,0.3,0.3,768.0,6.0,768.0,conv1d,1.0,2.0,3.0,256.0,0.3,3.0,8.0,0.5976,
57.7,56.53,57.24,50.73,51.74,51.91,50.89,56.92,44.28,94.69,49.33,55.78,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MIntRec2_multi-class_0_2024-04-17-08-29-57,1e-05,0.1,0.01,768.0,4.0,0.3,0.3,768.0,6.0,768.0,conv1d,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.5922,
58.44,57.66,57.69,52.6,53.13,53.18,51.1,57.09,44.5,94.63,49.01,55.8,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MIntRec2_multi-class_0_2024-04-17-08-29-57,1e-05,0.1,0.01,768.0,4.0,0.3,0.3,768.0,6.0,768.0,conv1d,1.0,2.0,3.0,256.0,0.3,2.0,8.0,0.5931,
58.48,57.41,58.83,51.36,55.89,52.18,51.17,57.07,44.55,94.69,49.07,55.69,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MIntRec2_multi-class_0_2024-04-17-08-29-57,1e-05,0.1,0.01,768.0,4.0,0.3,0.3,768.0,6.0,768.0,conv1d,1.0,2.0,3.0,256.0,0.3,2.0,16.0,0.594,
59.17,58.64,58.71,53.22,53.68,53.52,51.72,57.83,44.93,94.43,48.75,55.66,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MIntRec2_multi-class_0_2024-04-17-08-29-57,1e-05,0.1,0.01,768.0,4.0,0.3,0.3,768.0,7.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,8.0,0.5877,
56.62,56.26,56.67,51.64,52.39,51.94,51.88,57.88,45.1,94.18,48.75,55.76,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MIntRec2_multi-class_0_2024-04-17-08-29-57,1e-05,0.1,0.01,768.0,4.0,0.3,0.3,768.0,7.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.585,
