acc,f1,prec,rec,eval_acc,dataset,method,text_backbone,seed,logger_name,eval_f1,num_attention_heads,attention_probs_dropout_prob,hidden_dropout_prob,num_hidden_layers,dropout,aligned_method,lr,hidden_size,hidden_dims,intermediate_size,max_position_embeddings,d_num_attention_heads,d_attention_probs_dropout_prob,d_hidden_dropout_prob,d_num_hidden_layers,d_max_position_embeddings,m_num_attention_heads,m_attention_probs_dropout_prob,m_hidden_dropout_prob,m_num_hidden_layers,m_max_position_embeddings,patience,factor
fusion_feats = torch.cat((t_a_att , t_v_att , t_att), dim=1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.73,5.54,8.26,7.52,,MIntRec,msz,bert-base-uncased,2.0,msz_MIntRec_multi-class_seed-2_2024-01-06-08-47-52,0.0539,,,,,,,,,,,,,,,,,,,,,,,
16.18,4.96,11.54,7.12,,MIntRec,msz,bert-base-uncased,3.0,msz_MIntRec_multi-class_seed-3_2024-01-06-08-56-05,0.0581,,,,,,,,,,,,,,,,,,,,,,,
12.36,3.52,7.29,5.36,,MIntRec,msz,bert-base-uncased,4.0,msz_MIntRec_multi-class_seed-4_2024-01-06-09-04-20,0.0682,,,,,,,,,,,,,,,,,,,,,,,
14.61,3.83,4.11,6.53,,MIntRec,msz,bert-base-uncased,5.0,msz_MIntRec_multi-class_seed-5_2024-01-06-09-11-02,0.0565,,,,,,,,,,,,,,,,,,,,,,,
44.49,32.42,29.92,38.73,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-01-06-10-17-16,0.3328,,,,,,,,,,,,,,,,,,,,,,,
52.36,35.92,35.11,38.83,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-01-06-10-22-25,0.3396,,,,,,,,,,,,,,,,,,,,,,,
54.16,42.48,43.31,45.1,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-01-06-10-28-52,0.4014,,,,,,,,,,,,,,,,,,,,,,,
50.34,35.75,37.32,41.05,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-01-06-10-36-57,0.3725,,,,,,,,,,,,,,,,,,,,,,,
54.83,42.49,46.7,45.49,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-01-06-10-41-49,0.4305,,,,,,,,,,,,,,,,,,,,,,,
42.25,26.29,30.46,27.76,,MIntRec,msz,bert-base-uncased,2.0,msz_MIntRec_multi-class_seed-2_2024-01-06-10-45-30,0.3127,,,,,,,,,,,,,,,,,,,,,,,
63.37,59.17,60.39,60.05,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-01-06-11-00-46,0.5939,,,,,,,,,,,,,,,,,,,,,,,
62.7,59.91,61.98,59.64,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-01-06-11-17-36,0.6361,,,,,,,,,,,,,,,,,,,,,,,
66.29,62.01,62.29,63.58,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-01-06-11-53-21,0.6371,,,,,,,,,,,,,,,,,,,,,,,
67.87,63.61,65.4,63.53,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-01-06-12-10-24,0.6763,,,,,,,,,,,,,,,,,,,,,,,
68.09,62.91,67.79,64.06,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-01-07-07-04-40,0.6448,,,,,,,,,,,,,,,,,,,,,,,
64.94,61.03,62.16,61.78,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-01-07-07-53-40,0.6339,,,,,,,,,,,,,,,,,,,,,,,
65.84,60.68,62.06,60.33,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-01-07-08-02-23,0.6619,,,,,,,,,,,,,,,,,,,,,,,
64.94,63.12,64.58,64.88,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-01-07-08-11-18,0.6387,,,,,,,,,,,,,,,,,,,,,,,
63.6,61.78,63.97,63.06,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-01-07-08-22-50,0.6306,,,,,,,,,,,,,,,,,,,,,,,
