acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,hidden_dims,num_attention_heads,attention_probs_dropout_prob,hidden_dropout_prob,intermediate_size,num_hidden_layers,max_position_embeddings,dropout,aligned_method,lr,patience,factor
59.21,49.2,51.55,49.26,0.4908,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,6.0,0.2,0.2,768.0,5.0,768.0,0.2,conv1d,8e-06,5.0,0.1
59.21,49.2,51.55,49.26,0.4908,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,6.0,0.2,0.2,768.0,5.0,768.0,0.2,conv1d,8e-06,6.0,0.1
59.21,49.2,51.55,49.26,0.4908,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,6.0,0.2,0.2,768.0,5.0,768.0,0.2,conv1d,8e-06,7.0,0.1
.,,,,,,,,,,,,,,,,,,,,,
59.83,52.69,56.87,52.23,0.4999,MELD-DA,msz,bert-base-uncased,2.0,msz_MELD-DA_multi-class_seed-2,768.0,6.0,0.2,0.2,768.0,3.0,768.0,0.2,conv1d,6e-06,8.0,0.1
60.25,52.75,56.07,53.48,0.4867,MELD-DA,msz,bert-base-uncased,3.0,msz_MELD-DA_multi-class_seed-3,768.0,6.0,0.2,0.2,768.0,3.0,768.0,0.2,conv1d,6e-06,8.0,0.1
59.89,49.95,51.66,49.49,0.5136,MELD-DA,msz,bert-base-uncased,4.0,msz_MELD-DA_multi-class_seed-4,768.0,6.0,0.2,0.2,768.0,3.0,768.0,0.2,conv1d,6e-06,8.0,0.1
60.51,50.31,50.96,51.21,0.4842,MELD-DA,msz,bert-base-uncased,5.0,msz_MELD-DA_multi-class_seed-5,768.0,6.0,0.2,0.2,768.0,3.0,768.0,0.2,conv1d,6e-06,8.0,0.1
59.78,50.82,53.07,50.29,0.5045,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,6.0,0.2,0.2,768.0,3.0,768.0,0.2,conv1d,6e-06,8.0,0.1
...,,,,,,,,,,,,,,,,,,,,,
59.78,50.82,53.07,50.29,0.5045,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,6.0,0.2,0.2,768.0,3.0,768.0,0.2,conv1d,6e-06,3.0,0.1
59.78,50.82,53.07,50.29,0.5045,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,6.0,0.2,0.2,768.0,3.0,768.0,0.2,conv1d,6e-06,3.0,0.2
59.78,50.82,53.07,50.29,0.5045,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,6.0,0.2,0.2,768.0,3.0,768.0,0.2,conv1d,6e-06,3.0,0.3
...
