F1-known,F1-open,F1,Acc,dataset,method,backbone,known_cls_ratio,labeled_ratio,loss,seed,train_epochs,created_time,lr,safe1,safe2,alpha,alpha_loss,margin,p,loss_weight,supcon_loss_weight,triplet_loss_weight
69.9898,83.8679,70.6837,78.21,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-23-11-55-21,2e-05,0.6,0.6,0.0,0.5,0.4,2.0,1.0,0.5,0.5
69.1703,83.4942,69.8865,77.66,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-23-12-02-08,2e-05,0.6,0.6,0.0,0.5,0.4,2.0,1.0,0.5,0.6
69.2548,83.4418,69.9641,77.6,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-23-12-08-57,2e-05,0.6,0.6,0.0,0.5,0.4,2.0,1.0,0.5,0.7
69.3165,83.8508,70.0433,78.12,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-23-12-15-01,2e-05,0.6,0.6,0.0,0.5,0.4,2.0,1.0,0.6,0.3
69.334,83.5907,70.0468,77.82,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-23-12-21-49,2e-05,0.6,0.6,0.0,0.5,0.4,2.0,1.0,0.6,0.4
68.632,82.7603,69.3384,76.92,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-23-12-28-36,2e-05,0.6,0.6,0.0,0.5,0.4,2.0,1.0,0.6,0.5
69.4233,84.0336,70.1538,78.28,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-23-12-34-38,2e-05,0.6,0.6,0.0,0.5,0.4,2.0,1.0,0.6,0.6
70.1323,84.5897,70.8552,78.93,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-23-12-40-55,2e-05,0.6,0.6,0.0,0.5,0.4,2.0,1.0,0.6,0.7
68.3579,82.7905,69.0795,76.88,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-23-12-48-09,2e-05,0.6,0.6,0.0,0.5,0.4,2.0,1.0,0.7,0.3
68.2482,82.7268,68.9721,76.79,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-23-12-53-55,2e-05,0.6,0.6,0.0,0.5,0.4,2.0,1.0,0.7,0.4
