F1-known,F1-open,F1,Acc,dataset,method,backbone,known_cls_ratio,labeled_ratio,loss,seed,train_epochs,created_time,lr,safe1,safe2,alpha,alpha_loss,margin,p,loss_weight,supcon_loss_weight,triplet_loss_weight
80.6843,93.9349,81.0241,90.49,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-25-00-17-30,2e-05,0.6,0.6,0,0.5,0.3,2,1,0.5,0.3
81.4837,94.193,81.8096,90.89,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-25-00-33-41,2e-05,0.6,0.6,0,0.5,0.3,2,1,0.5,0.4
81.1976,94.0036,81.5259,90.68,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-25-00-52-07,2e-05,0.6,0.6,0,0.5,0.3,2,1,0.5,0.5
81.8401,94.4993,82.1647,91.37,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-25-01-07-38,2e-05,0.6,0.6,0,0.5,0.3,2,1,0.5,0.6
81.7054,94.3795,82.0303,91.21,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-25-01-24-57,2e-05,0.6,0.6,0,0.5,0.3,2,1,0.5,0.7
80.3629,93.8864,80.7096,90.39,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-25-01-40-29,2e-05,0.6,0.6,0,0.5,0.3,2,1,0.6,0.3
81.1408,93.9602,81.4695,90.6,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-25-02-00-30,2e-05,0.6,0.6,0,0.5,0.3,2,1,0.6,0.4
78.8612,93.1145,79.2266,89.32,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-25-02-14-00,2e-05,0.6,0.6,0,0.5,0.3,2,1,0.6,0.5
81.8096,94.3889,82.1321,91.21,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-25-02-30-22,2e-05,0.6,0.6,0,0.5,0.3,2,1,0.6,0.6
82.1362,94.6188,82.4563,91.56,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-25-02-45-34,2e-05,0.6,0.6,0,0.5,0.3,2,1,0.6,0.7
80.7904,93.9726,81.1284,90.58,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-25-03-02-31,2e-05,0.6,0.6,0,0.5,0.3,2,1,0.7,0.3
80.1999,93.6384,80.5445,90.09,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-25-03-20-22,2e-05,0.6,0.6,0,0.5,0.3,2,1,0.7,0.4
80.7768,94.0358,81.1168,90.68,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-25-03-33-56,2e-05,0.6,0.6,0,0.5,0.3,2,1,0.7,0.5
77.999,93.0233,78.3842,89.07,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-25-03-46-07,2e-05,0.6,0.6,0,0.5,0.3,2,1,0.7,0.6
81.5348,94.3199,81.8626,91.09,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-25-04-02-45,2e-05,0.6,0.6,0,0.5,0.3,2,1,0.7,0.7
81.4323,94.1847,81.7593,90.91,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-25-04-18-15,2e-05,0.6,0.6,0,0.5,0.4,2,1,0.3,0.3
80.9824,94.0558,81.3176,90.7,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-25-04-47-34,2e-05,0.6,0.6,0,0.5,0.4,2,1,0.3,0.4
82.0111,94.4438,82.3298,91.32,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-25-05-01-06,2e-05,0.6,0.6,0,0.5,0.4,2,1,0.3,0.5
80.0601,93.65700000000001,80.4088,90.12,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-25-05-16-56,2e-05,0.6,0.6,0,0.5,0.4,2,1,0.3,0.6
83.0561,94.8321,83.3581,91.91,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-25-05-33-06,2e-05,0.6,0.6,0,0.5,0.4,2,1,0.3,0.7
80.88600000000002,93.9023,81.2197,90.51,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-25-05-51-15,2e-05,0.6,0.6,0,0.5,0.4,2,1,0.4,0.3
80.8067,93.966,81.1441,90.58,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-25-06-05-15,2e-05,0.6,0.6,0,0.5,0.4,2,1,0.4,0.4
81.3677,94.1069,81.6943,90.82,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-25-06-30-48,2e-05,0.6,0.6,0,0.5,0.4,2,1,0.4,0.5
81.6482,94.316,81.973,91.09,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-25-06-46-26,2e-05,0.6,0.6,0,0.5,0.4,2,1,0.4,0.6
81.9204,94.4968,82.2429,91.35,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-25-07-10-39,2e-05,0.6,0.6,0,0.5,0.4,2,1,0.4,0.7
79.8063,93.6662,80.1616,90.09,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-25-07-28-52,2e-05,0.6,0.6,0,0.5,0.4,2,1,0.5,0.3
81.5841,94.2558,81.9091,90.96,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-25-07-44-34,2e-05,0.6,0.6,0,0.5,0.4,2,1,0.5,0.4
81.0395,94.1592,81.3759,90.86,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-25-08-00-34,2e-05,0.6,0.6,0,0.5,0.4,2,1,0.5,0.5
81.6149,94.51,81.9456,91.33,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-25-08-17-29,2e-05,0.6,0.6,0,0.5,0.4,2,1,0.5,0.6
